initial key,initial value,assigned workspace,assigned bucket,assigned key name,is merged
andpoe.accom_hotel_about_section_title,About the Accommodation,accommodation,accommodation_hotel,about_section_title,FALSE
andpoe.accom_hotel_detail_recommendation_footer_button_cta,See Options,accommodation,accommodation_hotel,detail_recommendation_footer_button_cta,FALSE
andpoe.accom_hotel_facility_section_see_more,View All,accommodation,accommodation_hotel,facility_section_see_more,FALSE
andpoe.accom_hotel_facility_section_title,Facilities,accommodation,accommodation_hotel,facility_section_title,
andpoe.accom_hotel_generic_section_see_all,See All,accommodation,accommodation_hotel,generic_section_see_all,FALSE
andpoe.accom_hotel_generic_section_see_more,See More,accommodation,accommodation_hotel,generic_section_see_more,FALSE
andpoe.accom_hotel_location_section_distance_desc,All distances are measured in straight lines. The actual distances may be different.,accommodation,accommodation_hotel,location_section_distance_desc,FALSE
andpoe.accom_hotel_location_section_see_map,See Map,accommodation,accommodation_hotel,location_section_see_map,FALSE
andpoe.accom_hotel_location_section_title,Location,accommodation,accommodation_hotel,location_section_title,FALSE
andpoe.accom_hotel_mini_map_section_map_button,Map,accommodation,accommodation_hotel,mini_map_section_map_button,FALSE
andpoe.accom_hotel_mini_review_section_no_rating_review,No rating & reviews yet,accommodation,accommodation_hotel,mini_review_section_no_rating_review,FALSE
andpoe.accom_hotel_mini_review_section_review_label,{0} reviews,accommodation,accommodation_hotel,mini_review_section_review_label,FALSE
andpoe.accom_hotel_modal_facility_section_disinfect,Frequent Disinfection,accommodation,accommodation_hotel,modal_facility_section_disinfect,FALSE
andpoe.accom_hotel_modal_facility_section_health_protocol,Staff Trained in Health Protocol,accommodation,accommodation_hotel,modal_facility_section_health_protocol,FALSE
andpoe.accom_hotel_modal_facility_section_temp_check,Temperature Check,accommodation,accommodation_hotel,modal_facility_section_temp_check,FALSE
andpoe.accom_hotel_modal_section_see_room_button,See Room Options,accommodation,accommodation_hotel,modal_section_see_room_button,FALSE
andpoe.accom_hotel_overview_policy_check_in,Check in,accommodation,,,
andpoe.accom_hotel_overview_policy_check_out,Check out,accommodation,,,
andpoe.accom_hotel_overview_policy_title,Accommodation Policy,accommodation,accommodation_hotel,overview_policy_title,FALSE
andpoe.accom_hotel_rating_section_photo_title,Photos by Guests,accommodation,accommodation_hotel,rating_section_photo_title,FALSE
andpoe.accom_hotel_rating_section_review_label,({0} reviews),accommodation,accommodation_hotel,rating_section_review_label,FALSE
andpoe.accom_hotel_rating_section_see_all_photos,See All Photos,accommodation,accommodation_hotel,rating_section_see_all_photos,
andpoe.accom_hotel_rating_section_see_more,See All,accommodation,accommodation_hotel,rating_section_see_more,FALSE
andpoe.accom_hotel_rating_section_title,Rating & Reviews,accommodation,accommodation_hotel,rating_section_title,FALSE
andpoe.accom_hotel_room_header_section_title,Available Rooms,accommodation,accommodation_hotel,room_header_section_title,FALSE
andpoe.accom_hotel_room_section_no_room_change_date,Change Date,accommodation,accommodation_hotel,room_section_no_room_change_date,FALSE
andpoe.accom_hotel_room_section_no_room_clear_filter,Clear Filter,accommodation,accommodation_hotel,room_section_no_room_clear_filter,FALSE
andpoe.accom_hotel_room_section_no_room_desc,Try changing your stay date to see the availability or check other accommodation suitable for you.,accommodation,accommodation_hotel,room_section_no_room_desc,FALSE
